origin_lat,origin_lon,dest_lat,dest_lon,hour,vehicle_type,distance_km,duration_min,fare
12.983404400940515,77.5717692067307,12.972932736962377,77.50859664264678,21,car,9.229341009889255,41.51588745069506,93.83958930604982
13.04406489868843,77.63075029450206,13.0345499059247,77.61608116597984,8,bike,23.877858536699225,161.1128822487487,242.77881120557893
12.900022874963469,77.61331828163969,13.010615291103997,77.52604586740668,10,car,11.09887650965244,74.88828956100457,112.84814509598947
12.960466514526368,77.50682128347967,12.981283048746493,77.55271778119437,14,car,7.335249461476032,32.99578927023139,74.58135918748476
12.929351178163422,77.68413889060976,12.979591794638946,77.64228634324519,8,auto,23.201500267670184,156.54923890575117,235.9019191152955
12.91846771895376,77.5760011606905,13.022575959552347,77.5146595693143,12,car,16.543471603469484,74.4166787636824,168.20622179876543
12.937252042275535,77.57588038879938,12.91226989017667,77.57038554497032,9,auto,9.52504585602403,64.26906286662627,96.84617680643181
12.96911214540861,77.66927117515954,13.052899952358755,77.53457928372039,11,auto,5.110036037943462,22.986221962428285,51.95643791099689
12.979353494846134,77.59685558039936,12.946729475585487,77.65273081200705,1,bike,26.936924283178712,121.16903206957795,273.88194988062116
13.00776334680067,77.59021375885266,12.933187702496406,77.55050619396103,20,auto,28.15737713747666,126.658934683819,286.2909392648036
12.98383890288066,77.62797134306886,12.984696852613347,77.5146877362683,20,bike,1.8586634396282218,8.360733673795949,18.898013806835717
13.037043900079352,77.54235425815777,12.99368957975355,77.67356674944315,21,bike,7.44746937501452,33.50058254801781,75.72235837552304
12.940890449946304,77.60566013853945,12.954887319120994,77.61714572892815,17,car,24.95221227016435,112.2413003424635,253.70233359030425
13.07562348727819,77.63371370488315,12.96202616754255,77.57874727442413,20,auto,5.84654234003102,26.29921177518216,59.44488685173477
12.905477518639586,77.60775533999659,13.034629635745132,77.64399683970112,18,car,23.41097629301653,105.30843489804337,238.03177260829162
13.034093502035681,77.64175222750161,12.906010794026496,77.54435203798374,19,bike,21.953683128362567,98.7531652486053,223.21470257879417
12.983460960473426,77.61970729839263,13.031036849894999,77.65440638945032,7,auto,27.648900143221393,124.37167781009961,281.1209848486257
13.01173796568915,77.66828110673995,13.004290729240257,77.58147614533218,17,car,4.190915862541651,18.85178920988851,42.61125717813703
12.928077387719046,77.67583415256028,12.99574163149519,77.51490060115545,5,bike,29.908210040898027,134.5346195984332,304.09258300345573
12.939620297816976,77.51956784060654,13.044097900313004,77.68712391601608,0,auto,3.258928998399536,14.659478868793578,33.13525401864616
13.060148913735107,77.55171879890442,13.037650378256378,77.5873840251176,11,bike,15.096647716715847,67.90850254838381,153.49559845245423
13.09365231514388,77.51093123108386,12.912962167598057,77.50209575586395,15,car,22.340599605898987,100.49361247197798,227.14868695631984
12.96268483563185,77.54577837355377,13.060047189126815,77.68712478713984,14,auto,6.720558167661964,30.23075387457716,68.33146783557677
13.038464523133863,77.64418334142242,12.90783503161571,77.5638922978611,15,car,29.426242604092124,132.36660935372626,299.1921652726238
13.075277830459207,77.51570904789853,12.905402547560396,77.53860555929158,16,car,16.87653906024329,75.91489960459555,171.59269471393614
13.07892133270077,77.53102390261,13.005173076835979,77.63225585222428,18,bike,23.532620900003728,105.85562280747843,239.26859763715805
12.917008842273956,77.65415366548515,13.046959799924746,77.55023317705798,22,car,3.088477725899742,13.892746353725947,31.402185818984282
12.907810956646577,77.58886503547456,13.001114956227728,77.52532238018243,9,car,26.31999111610724,177.59086824976578,267.6092642180982
